source_label,source_name,type,target_label,target_name
Concept,artificial intelligence systems,RELATED_TO,Technology,Generative AI
Concept,large datasets,RELATED_TO,Technology,Generative AI
Concept,patterns learned from data,RELATED_TO,Technology,Generative AI
Concept,Large dataset,RELATED_TO,Technology,Generative AI
Concept,Patterns,RELATED_TO,Technology,Generative AI
Technology,Large Language Models (LLMs),RELATED_TO,Technology,Generative AI
Concept,statistical patterns and correlations,RELATED_TO,Technology,Generative AI
Concept,training data,RELATED_TO,Technology,Generative AI
Technology,GenAI Frameworks,RELATED_TO,Technology,Generative AI
Example,GPT,USED_IN,Technology,Generative AI
Example,DALL-E,USED_IN,Technology,Generative AI
Example,text,USED_IN,Technology,Generative AI
Example,images,USED_IN,Technology,Generative AI
Example,audio,USED_IN,Technology,Generative AI
Example,code,USED_IN,Technology,Generative AI
Example,Chatbots,USED_IN,Technology,Generative AI
Example,Content creation,USED_IN,Technology,Generative AI
Example,Image synthesis,USED_IN,Technology,Generative AI
Example,Code generation,USED_IN,Technology,Generative AI
Process,training on large datasets,PART_OF,Technology,Generative AI
Process,using patterns learned from data to generate new output,PART_OF,Technology,Generative AI
Process,Model training,PART_OF,Technology,Generative AI
Process,Pattern learning,PART_OF,Technology,Generative AI
Process,Content generation,PART_OF,Technology,Generative AI
Technology,Generative AI,LEADS_TO,Benefit,creation of new content that resembles human-made data
Process,using patterns learned from data to generate new output,LEADS_TO,Benefit,creation of new content that resembles human-made data
Technology,Generative AI,HAS_CHALLENGE,Challenge,Lack of human-like intelligence
Technology,Generative AI,RELATED_TO,Technology,Large Language Models (LLMs)
Concept,training data,RELATED_TO,Technology,Large Language Models (LLMs)
Concept,probabilistic continuation of instructions,RELATED_TO,Technology,Large Language Models (LLMs)
Concept,Text Analysis,RELATED_TO,Technology,Large Language Models (LLMs)
Example,Avoid Jargon at all costs.,USED_IN,Technology,Large Language Models (LLMs)
Example,Tell me about the capital of Japan.,USED_IN,Technology,Large Language Models (LLMs)
Process,text generation,PART_OF,Technology,Large Language Models (LLMs)
Process,training on vast amounts of text data,PART_OF,Technology,Large Language Models (LLMs)
Technology,Generative AI,HAS_CHALLENGE,Challenge,lack of understanding or comprehension
Technology,Generative AI,LEADS_TO,Benefit,coherent and contextually relevant outputs
Technology,Large Language Models (LLMs),RELATED_TO,Technology,text-generating models
Technology,Large Language Models (LLMs),RELATED_TO,Technology,generative AI model
Technology,Large Language Models (LLMs),LEADS_TO,Benefit,understand and generate human-like text
Technology,Large Language Models (LLMs),LEADS_TO,Benefit,answering questions
Technology,Large Language Models (LLMs),LEADS_TO,Benefit,summarizing data
Technology,Large Language Models (LLMs),LEADS_TO,Benefit,analyzing text
Concept,training data,RELATED_TO,Technology,LLM
Concept,prompt,RELATED_TO,Technology,LLM
Concept,instructions,RELATED_TO,Technology,LLM
Concept,Precision,RELATED_TO,Technology,LLM
Concept,Prompt,RELATED_TO,Technology,LLM
Concept,Intent,RELATED_TO,Technology,LLM
Concept,Access to Data,RELATED_TO,Technology,LLM
Concept,Training data,RELATED_TO,Technology,LLM
Concept,Accuracy,RELATED_TO,Technology,LLM
Concept,Hallucination,RELATED_TO,Technology,LLM
Concept,genuine understanding,RELATED_TO,Technology,LLM
Concept,temperature,RELATED_TO,Technology,LLM
Concept,design,RELATED_TO,Technology,LLM
Concept,context,RELATED_TO,Technology,LLM
Concept,Transparency,RELATED_TO,Technology,LLM
Technology,GenAI Models,RELATED_TO,Technology,LLM
Concept,Black box,RELATED_TO,Technology,LLM
Concept,user query,RELATED_TO,Technology,LLM
Technology,News agency chatbot,RELATED_TO,Technology,LLM
Technology,Text to Cypher,RELATED_TO,Technology,LLM
Concept,Context,RELATED_TO,Technology,LLM
Technology,embedding model,RELATED_TO,Technology,LLM
Technology,GraphRAG,RELATED_TO,Technology,LLM
Technology,Graph,RELATED_TO,Technology,LLM
Concept,data,RELATED_TO,Technology,LLM
Technology,vector embeddings,RELATED_TO,Technology,LLM
Concept,user's query,RELATED_TO,Technology,LLM
Concept,Additional context,RELATED_TO,Technology,LLM
Technology,vector retriever,RELATED_TO,Technology,LLM
Technology,GraphRAG pipeline,RELATED_TO,Technology,LLM
Technology,OpenAILLM,RELATED_TO,Technology,LLM
Technology,RAG pipeline,RELATED_TO,Technology,LLM
Concept,relevant context,RELATED_TO,Technology,LLM
Concept,retrieved context,RELATED_TO,Technology,LLM
Concept,generated response,RELATED_TO,Technology,LLM
Concept,temperature parameter,RELATED_TO,Technology,LLM
Concept,LLM configuration,RELATED_TO,Technology,LLM
Concept,randomness,RELATED_TO,Technology,LLM
Concept,transparency,RELATED_TO,Technology,LLM
Technology,TextToCypherRetriever,RELATED_TO,Technology,LLM
Technology,GLiNER,RELATED_TO,Technology,LLM
Concept,types,RELATED_TO,Technology,LLM
Example,"Sequence continuation example: ""Continue this sequence - A B C"" -> ""D E F""",USED_IN,Technology,LLM
Example,What is an LLM? Give the response using simple language avoiding jargon.,USED_IN,Technology,LLM
Example,What is the capital of Japan?,USED_IN,Technology,LLM
Example,"You are a friendly travel agent helping a customer to choose a holiday destination. Your readers may have English as a second language, so use simple terms and avoid colloquialisms. Avoid Jargon at all costs. Tell me about the capital of Japan.",USED_IN,Technology,LLM
Example,Internet,USED_IN,Technology,LLM
Example,Books,USED_IN,Technology,LLM
Example,Publicly available text,USED_IN,Technology,LLM
Example,"""The moon is made of cheese.""",USED_IN,Technology,LLM
Example,LLM-generated legal brief,USED_IN,Technology,LLM
Process,providing a prompt to an LLM,PART_OF,Technology,LLM
Process,Using precision in task description,PART_OF,Technology,LLM
Process,Training,PART_OF,Technology,LLM
Process,Fine-tuning,PART_OF,Technology,LLM
Process,setting a higher temperature,PART_OF,Technology,LLM
Process,setting a lower temperature,PART_OF,Technology,LLM
Process,reduce the temperature,PART_OF,Technology,LLM
Process,Grounding,PART_OF,Technology,LLM
Process,Use relevant results as context,PART_OF,Technology,LLM
Process,Chunk the data,PART_OF,Technology,LLM
Process,Vectorize the data,PART_OF,Technology,LLM
Process,Pass the data to an LLM,PART_OF,Technology,LLM
Process,create and configure the LLM,PART_OF,Technology,LLM
Process,pass the retrieved data to the LLM,PART_OF,Technology,LLM
Process,modifying the temperature of the LLM,PART_OF,Technology,LLM
Resource,llm-prompt-interaction.svg,CITES,Technology,LLM
Resource,Reuters article,CITES,Technology,LLM
Resource,Reuters article on lawyers sanctioned for fake ChatGPT cases,CITES,Technology,LLM
Resource,Next lesson,CITES,Technology,LLM
Resource,genai_fundamentals/text2cypher_rag.py,CITES,Technology,LLM
Resource,text2cypher_rag.py,CITES,Technology,LLM
Technology,LLM,LEADS_TO,Benefit,Relevant and accurate outputs
Process,Using precision in task description,LEADS_TO,Benefit,Relevant and accurate outputs
Process,Using precision in task description,LEADS_TO,Benefit,Model understands the intent
Concept,Prompt,HAS_CHALLENGE,Challenge,Jargon
Technology,Large Language Models (LLMs),HAS_CHALLENGE,Challenge,hallucination
Technology,LLM,HAS_CHALLENGE,Challenge,hallucination
Technology,LLMs,HAS_CHALLENGE,Challenge,hallucination
Technology,GenAI models,HAS_CHALLENGE,Challenge,hallucination
Concept,training data,RELATED_TO,Technology,LLMs
Concept,limitations,RELATED_TO,Technology,LLMs
Technology,GenAI,RELATED_TO,Technology,LLMs
Concept,predictive text machines,RELATED_TO,Technology,LLMs
Concept,patterns and relationships from text,RELATED_TO,Technology,LLMs
Concept,Temperature,RELATED_TO,Technology,LLMs
Concept,Randomness,RELATED_TO,Technology,LLMs
Concept,context,RELATED_TO,Technology,LLMs
Concept,Access to data,RELATED_TO,Technology,LLMs
Concept,fixed knowledge cutoff,RELATED_TO,Technology,LLMs
Concept,recent events information,RELATED_TO,Technology,LLMs
Concept,organization-specific information,RELATED_TO,Technology,LLMs
Technology,Prompting,RELATED_TO,Technology,LLMs
Technology,Retrieval-Augmented Generation (RAG),RELATED_TO,Technology,LLMs
Technology,Knowledge graphs,RELATED_TO,Technology,LLMs
Technology,GraphRAG,RELATED_TO,Technology,LLMs
Concept,user intent,RELATED_TO,Technology,LLMs
Technology,Neo4j GenAI Frameworks,RELATED_TO,Technology,LLMs
Example,Including a relevant stock market report in the prompt when asking the model to summarize a company's performance,USED_IN,Technology,LLMs
Example,statistics or data points,USED_IN,Technology,LLMs
Process,providing context in prompts,PART_OF,Technology,LLMs
Process,Anchoring the model's response to supplied facts and details,PART_OF,Technology,LLMs
Process,provide data in the prompt,PART_OF,Technology,LLMs
Resource,GraphAcademy Building Knowledge Graphs with LLMs course,CITES,Technology,LLMs
Technology,LLMs,HAS_CHALLENGE,Challenge,access to data
Technology,LLMs,HAS_CHALLENGE,Challenge,Caution
Technology,GenAI,HAS_CHALLENGE,Challenge,Caution
Technology,LLMs,HAS_CHALLENGE,Challenge,Access to Data
Concept,Training data,HAS_CHALLENGE,Challenge,Questionable quality or incorrect data
Concept,Training data,HAS_CHALLENGE,Challenge,Static and potentially outdated data
Technology,LLM,HAS_CHALLENGE,Challenge,Lack of access to new or private information
Technology,LLM,HAS_CHALLENGE,Challenge,Inaccurate responses
Technology,LLM,HAS_CHALLENGE,Challenge,Misleading or baseless content
Technology,LLM,LEADS_TO,Benefit,Human-like text
Process,Fine-tuning,LEADS_TO,Benefit,Helpful responses
Technology,LLMs,HAS_CHALLENGE,Challenge,Lack of genuine understanding
Technology,LLMs,HAS_CHALLENGE,Challenge,Lack of ethical judgment
Concept,Temperature,HAS_CHALLENGE,Challenge,False statements
Process,setting a higher temperature,LEADS_TO,Benefit,more diverse and creative outputs
Process,setting a lower temperature,LEADS_TO,Benefit,consistent and precise responses
Technology,LLM,HAS_CHALLENGE,Challenge,false statements
Technology,LLM,HAS_CHALLENGE,Challenge,fictitious case citations
Process,reduce the temperature,LEADS_TO,Benefit,quick fix
Process,providing context in prompts,LEADS_TO,Benefit,more accurate and relevant responses
Technology,LLM,HAS_CHALLENGE,Challenge,missing required information
Technology,LLM,RELATED_TO,Technology,GenAI Models
Concept,Transparency,RELATED_TO,Technology,GenAI Models
Concept,Black box,RELATED_TO,Technology,GenAI Models
Technology,GenAI Models,HAS_CHALLENGE,Challenge,black-box nature
Process,providing context in prompts,LEADS_TO,Benefit,reduced hallucinations
Technology,GenAI Models,HAS_CHALLENGE,Challenge,Difficulty deciphering decision-making processes
Technology,LLM,HAS_CHALLENGE,Challenge,Unable to provide sources for output
Technology,LLM,HAS_CHALLENGE,Challenge,Unable to explain reasoning
Concept,context,RELATED_TO,Technology,GenAI models
Technology,LLM,HAS_CHALLENGE,Challenge,Hallucinations
Technology,LLMs,HAS_CHALLENGE,Challenge,Hallucinations
Technology,GenAI models,HAS_CHALLENGE,Challenge,limited access to data
Technology,GenAI models,HAS_CHALLENGE,Challenge,biased outputs
Technology,GenAI models,HAS_CHALLENGE,Challenge,lack of context
Technology,GenAI models,HAS_CHALLENGE,Challenge,lack of logical coherence
Process,providing context to GenAI models,LEADS_TO,Benefit,improved accuracy of responses
Process,Anchoring the model's response to supplied facts and details,LEADS_TO,Benefit,More accurate summaries
Process,Anchoring the model's response to supplied facts and details,LEADS_TO,Benefit,Reduced hallucinations
Process,Supplying context,LEADS_TO,Benefit,Reduced hallucinations
Technology,LLMs,HAS_CHALLENGE,Challenge,limited access to real-time data
Technology,LLMs,HAS_CHALLENGE,Challenge,limited access to proprietary data
Process,provide data in the prompt,LEADS_TO,Benefit,up-to-date responses
Process,provide data in the prompt,LEADS_TO,Benefit,relevant responses for a particular use case
Concept,Supplying context,RELATED_TO,Technology,LLM prompting
Example,Summarizing a company's performance using a stock market report and annual results,USED_IN,Technology,LLM prompting
Process,Providing statistics or data points in the prompt,PART_OF,Technology,LLM prompting
Technology,LLM prompting,LEADS_TO,Benefit,Useful facts in the model response
Process,Providing statistics or data points in the prompt,LEADS_TO,Benefit,Including a specific profit figure in the response
Process,Supplying context,PART_OF,Technology,Prompting
Process,Supplying context,LEADS_TO,Benefit,More accurate responses
Process,Graph traversal to find related nodes,LEADS_TO,Benefit,More accurate responses
Process,Supplying context,LEADS_TO,Benefit,More relevant responses
Process,Supplying context,LEADS_TO,Benefit,More trustworthy responses
Technology,LLMs,HAS_CHALLENGE,Challenge,Lack of access to data
Process,Supplying context,LEADS_TO,Benefit,Compensating for lack of access to data
Process,providing context in prompts,LEADS_TO,Benefit,improved accuracy of LLM responses
Concept,additional context,RELATED_TO,Technology,RAG (Retrieval-Augmented Generation)
Process,providing context in prompts,PART_OF,Technology,RAG (Retrieval-Augmented Generation)
Concept,"Relevant, up-to-date information",RELATED_TO,Technology,Retrieval-Augmented Generation (RAG)
Concept,External sources,RELATED_TO,Technology,Retrieval-Augmented Generation (RAG)
Concept,user query,RELATED_TO,Technology,Retrieval-Augmented Generation (RAG)
Concept,retriever,RELATED_TO,Technology,Retrieval-Augmented Generation (RAG)
Concept,external data sources,RELATED_TO,Technology,Retrieval-Augmented Generation (RAG)
Example,documents,USED_IN,Technology,Retrieval-Augmented Generation (RAG)
Example,databases,USED_IN,Technology,Retrieval-Augmented Generation (RAG)
Example,knowledge graphs,USED_IN,Technology,Retrieval-Augmented Generation (RAG)
Process,RAG process,PART_OF,Technology,Retrieval-Augmented Generation (RAG)
Process,Understanding the User Query,PART_OF,Technology,Retrieval-Augmented Generation (RAG)
Process,Information Retrieval,PART_OF,Technology,Retrieval-Augmented Generation (RAG)
Process,Response Generation,PART_OF,Technology,Retrieval-Augmented Generation (RAG)
Technology,Retrieval-Augmented Generation (RAG),LEADS_TO,Benefit,More accurate and tailored answers
Technology,Retrieval-Augmented Generation (RAG),HAS_CHALLENGE,Challenge,Required information not present in the model's training data
Technology,Retriever,RELATED_TO,Technology,RAG
Technology,Language model,RELATED_TO,Technology,RAG
Concept,contextual awareness,RELATED_TO,Technology,RAG
Concept,"real, up-to-date information",RELATED_TO,Technology,RAG
Concept,Data sources,RELATED_TO,Technology,RAG
Concept,data sources,RELATED_TO,Technology,RAG
Concept,vectors,RELATED_TO,Technology,RAG
Concept,embeddings,RELATED_TO,Technology,RAG
Concept,question vector,RELATED_TO,Technology,RAG
Concept,similarity,RELATED_TO,Technology,RAG
Example,"""What’s the latest news on the Olympics?""",USED_IN,Technology,RAG
Example,Documents,USED_IN,Technology,RAG
Example,APIs,USED_IN,Technology,RAG
Example,Knowledge Graphs,USED_IN,Technology,RAG
Process,RAG process,PART_OF,Technology,RAG
Process,Response Generation,PART_OF,Technology,RAG
Process,retrieving information,PART_OF,Technology,RAG
Process,combining retrieved information with the original question,PART_OF,Technology,RAG
Process,sending the combined input to a language model,PART_OF,Technology,RAG
Process,Understanding user queries,PART_OF,Technology,RAG
Process,Retrieving relevant information,PART_OF,Technology,RAG
Process,Generating a response using the retrieved information,PART_OF,Technology,RAG
Process,create an embedding of the question,PART_OF,Technology,RAG
Process,compare the question vector to the vectors of the indexed data,PART_OF,Technology,RAG
Process,score results based on similarity,PART_OF,Technology,RAG
Resource,llm-rag-process diagram,CITES,Technology,RAG
Concept,user query,RELATED_TO,Technology,Retriever
Concept,external data sources,RELATED_TO,Technology,Retriever
Concept,Retrieved information,RELATED_TO,Technology,Retriever
Concept,User query,RELATED_TO,Technology,Retriever
Concept,relevant information,RELATED_TO,Technology,Retriever
Concept,unstructured input,RELATED_TO,Technology,Retriever
Technology,Neo4j,RELATED_TO,Technology,Retriever
Concept,structured data,RELATED_TO,Technology,Retriever
Technology,Full-text search,RELATED_TO,Technology,Retriever
Technology,Vector search,RELATED_TO,Technology,Retriever
Technology,Text to Cypher,RELATED_TO,Technology,Retriever
Concept,query,RELATED_TO,Technology,Retriever
Technology,moviePlots vector index,RELATED_TO,Technology,Retriever
Technology,Vector retriever,RELATED_TO,Technology,Retriever
Technology,Embedder,RELATED_TO,Technology,Retriever
Concept,User queries,RELATED_TO,Technology,Retriever
Concept,Similar movies,RELATED_TO,Technology,Retriever
Concept,retrieval query,RELATED_TO,Technology,Retriever
Technology,Text to Cypher retriever,RELATED_TO,Technology,Retriever
Concept,vector index name,RELATED_TO,Technology,Retriever
Technology,Graph schema,RELATED_TO,Technology,Retriever
Example,moviePlots,USED_IN,Technology,Retriever
Process,searching and retrieving relevant information,PART_OF,Technology,Retriever
Process,Create a retriever,PART_OF,Technology,Retriever
Process,Use the retriever to search for similar movies,PART_OF,Technology,Retriever
Process,Parse the results,PART_OF,Technology,Retriever
Process,Search,PART_OF,Technology,Retriever
Resource,genai-fundamentals/vector_retriever.py,CITES,Technology,Retriever
Resource,vector_cypher_rag.py,CITES,Technology,Retriever
Concept,Prompt,RELATED_TO,Technology,Language model
Process,Response Generation,LEADS_TO,Benefit,More accurate and relevant response
Technology,RAG,RELATED_TO,Technology,language model
Technology,RAG,RELATED_TO,Technology,chatbot
Technology,knowledge graph,RELATED_TO,Technology,chatbot
Concept,historical context,RELATED_TO,Technology,chatbot
Technology,document database,RELATED_TO,Technology,chatbot
Technology,RAG,RELATED_TO,Technology,news API
Concept,data sources,RELATED_TO,Technology,news API
Example,news agency chatbot,USED_IN,Technology,news API
Process,retrieve the latest articles or headlines,PART_OF,Technology,news API
Technology,RAG,LEADS_TO,Benefit,contextually aware responses
Technology,RAG,LEADS_TO,Benefit,"grounded responses using real, up-to-date information"
Technology,News agency chatbot,RELATED_TO,Technology,News API
Example,What's the latest news on the Olympics?,USED_IN,Technology,News agency chatbot
Process,Grounding,LEADS_TO,Benefit,Improved response accuracy
Technology,News agency chatbot,LEADS_TO,Benefit,Timely and accurate responses
Concept,user query,RELATED_TO,Technology,Vector RAG
Technology,semantic search,RELATED_TO,Technology,Vector RAG
Technology,vector indexes,RELATED_TO,Technology,Vector RAG
Concept,retrieved context,RELATED_TO,Technology,Vector RAG
Concept,retriever_config,RELATED_TO,Technology,Vector RAG
Process,Search,PART_OF,Technology,Vector RAG
Resource,vector_rag.py,CITES,Technology,Vector RAG
Technology,LLM,RELATED_TO,Technology,Retrieval Augmented Generation (RAG)
Technology,Vector RAG,RELATED_TO,Technology,Retrieval Augmented Generation (RAG)
Technology,retrievers,RELATED_TO,Technology,Retrieval Augmented Generation (RAG)
Technology,Full-text search,RELATED_TO,Technology,Neo4j
Technology,Vector search,RELATED_TO,Technology,Neo4j
Technology,Text to Cypher,RELATED_TO,Technology,Neo4j
Technology,Vector Indexes,RELATED_TO,Technology,Neo4j
Technology,vector index,RELATED_TO,Technology,Neo4j
Technology,GraphRAG,RELATED_TO,Technology,Neo4j
Technology,Vector Index,RELATED_TO,Technology,Neo4j
Concept,graph database,RELATED_TO,Technology,Neo4j
Concept,relationships,RELATED_TO,Technology,Neo4j
Technology,full text search,RELATED_TO,Technology,Neo4j
Concept,graph-based model,RELATED_TO,Technology,Neo4j
Concept,nodes,RELATED_TO,Technology,Neo4j
Technology,neo4j-graphrag,RELATED_TO,Technology,Neo4j
Concept,knowledge graphs,RELATED_TO,Technology,Neo4j
Concept,GraphRAG techniques,RELATED_TO,Technology,Neo4j
Technology,Vector Retriever,RELATED_TO,Technology,Neo4j
Technology,embedder,RELATED_TO,Technology,Neo4j
Concept,Graph,RELATED_TO,Technology,Neo4j
Technology,GenAI Frameworks,RELATED_TO,Technology,Neo4j
Technology,GenAI frameworks,RELATED_TO,Technology,Neo4j
Technology,LangChain,RELATED_TO,Technology,Neo4j
Concept,vector store,RELATED_TO,Technology,Neo4j
Concept,knowledge graph,RELATED_TO,Technology,Neo4j
Concept,RAG,RELATED_TO,Technology,Neo4j
Technology,LlamaIndex,RELATED_TO,Technology,Neo4j
Technology,Spring AI,RELATED_TO,Technology,Neo4j
Technology,Langchain4j,RELATED_TO,Technology,Neo4j
Technology,Haystack,RELATED_TO,Technology,Neo4j
Technology,Semantic Kernel,RELATED_TO,Technology,Neo4j
Technology,DSPy,RELATED_TO,Technology,Neo4j
Technology,Neo4j GenAI Frameworks,RELATED_TO,Technology,Neo4j
Concept,Knowledge Graph,RELATED_TO,Technology,Neo4j
Concept,Graph Database,RELATED_TO,Technology,Neo4j
Concept,graph data modeling,RELATED_TO,Technology,Neo4j
Example,movie recommendations,USED_IN,Technology,Neo4j
Example,Session,USED_IN,Technology,Neo4j
Example,Cypher,USED_IN,Technology,Neo4j
Process,using a combination of vector and graph queries,PART_OF,Technology,Neo4j
Process,importing data,PART_OF,Technology,Neo4j
Process,connect to Neo4j,PART_OF,Technology,Neo4j
Process,Configuration,PART_OF,Technology,Neo4j
Process,Data Modeling,PART_OF,Technology,Neo4j
Process,setup,PART_OF,Technology,Neo4j
Process,Neo4j database operates by Neo4j,PART_OF,Technology,Neo4j
Process,Data modeling,PART_OF,Technology,Neo4j
Process,extract,PART_OF,Technology,Neo4j
Resource,full-text indexes,CITES,Technology,Neo4j
Resource,neo4j-google-knowledge-graph.svg,CITES,Technology,Neo4j
Resource,GraphAcademy Importing Data Fundamentals course,CITES,Technology,Neo4j
Resource,Using Neo4j with Python,CITES,Technology,Neo4j
Resource,vector_cypher_rag.py,CITES,Technology,Neo4j
Resource,genai_fundamentals/text2cypher_rag.py,CITES,Technology,Neo4j
Resource,memory,CITES,Technology,Neo4j
Resource,text2cypher_rag.py,CITES,Technology,Neo4j
Resource,Memory,CITES,Technology,Neo4j
Resource,Neo4j Documentation,CITES,Technology,Neo4j
Resource,MemoryClient,CITES,Technology,Neo4j
Resource,neo4j-agent-memory,CITES,Technology,Neo4j
Resource,conversation storage,CITES,Technology,Neo4j
Resource,Open Neo4j Browser,CITES,Technology,Neo4j
Resource,Neo4j Agent Memory Service,CITES,Technology,Neo4j
Resource,OpenAI key,CITES,Technology,Neo4j
Resource,Neo4j Graph Database Documentation,CITES,Technology,Neo4j
Concept,vectors,RELATED_TO,Technology,semantic search
Concept,embeddings,RELATED_TO,Technology,semantic search
Resource,Introduction to Vector Indexes and Unstructured Data,CITES,Technology,semantic search
Resource,schema,CITES,Technology,semantic search
Technology,Retriever,RELATED_TO,Technology,Vector search
Concept,User query,RELATED_TO,Technology,Vector search
Technology,Full text search,RELATED_TO,Technology,Vector search
Concept,Query,RELATED_TO,Technology,Vector search
Process,Score related data by relevance,PART_OF,Technology,Vector search
Technology,LLMs,RELATED_TO,Technology,Text to Cypher
Concept,user query,RELATED_TO,Technology,Text to Cypher
Concept,natural language,RELATED_TO,Technology,Text to Cypher
Concept,information needs,RELATED_TO,Technology,Text to Cypher
Concept,"complex searches, aggregations, and traversals",RELATED_TO,Technology,Text to Cypher
Concept,graph schema,RELATED_TO,Technology,Text to Cypher
